Prediction Horizon,Approach,old_rmse_mean,old_rmse_std,old_n,old_rmse_pm_std,new_rmse_mean,new_rmse_std,new_n,new_rmse_pm_std,delta_mean_new_minus_old
6,Bezier,15.245196151301165,11.144075783688876,245,15.245±11.144,19.483807617335046,7.726089293375341,6,19.484±7.726,4.2386114660338805
6,Glucose+Insulin,15.184620720048851,11.402025624281634,245,15.185±11.402,19.384267066560003,8.031756970796001,6,19.384±8.032,4.199646346511152
6,LastMeal,14.985956814269906,11.390329325484323,245,14.986±11.390,19.09619070234394,7.3188779655620735,6,19.096±7.319,4.110233888074033
9,Bezier,23.098641538056526,16.668411080853083,245,23.099±16.668,30.646631798375427,12.108742563258303,6,30.647±12.109,7.547990260318901
9,Glucose+Insulin,23.093621783507384,17.22348931574283,245,23.094±17.223,30.040663259942217,12.220833864684678,6,30.041±12.221,6.947041476434833
9,LastMeal,22.82403909863874,17.03179089033883,245,22.824±17.032,29.960118860362158,11.314937258620795,6,29.960±11.315,7.136079761723419
12,Bezier,29.869215968834798,21.747542453179275,245,29.869±21.748,39.69232786492929,15.031027887027701,6,39.692±15.031,9.823111896094492
12,Glucose+Insulin,30.139260712578608,22.152697908518146,245,30.139±22.153,38.67220899519154,15.10488993462736,6,38.672±15.105,8.532948282612931
12,LastMeal,29.138226376276116,21.891545593153058,245,29.138±21.892,39.355639908455586,14.583211595169235,6,39.356±14.583,10.21741353217947
18,Bezier,39.361654463173984,29.773576082899858,245,39.362±29.774,54.37769529174872,18.25799551272889,6,54.378±18.258,15.016040828574738
18,Glucose+Insulin,40.37938429205989,29.363203043538547,245,40.379±29.363,52.26118748062609,20.506191043317305,6,52.261±20.506,11.881803188566202
18,LastMeal,38.39156657891919,28.406402884679245,245,38.392±28.406,55.32547531393008,18.050967363108033,6,55.325±18.051,16.93390873501089
24,Bezier,45.927937904470305,34.38516468764215,245,45.928±34.385,72.3769239804829,24.52694021738764,6,72.377±24.527,26.448986076012595
24,Glucose+Insulin,47.01590615638445,35.406710703891626,245,47.016±35.407,61.574510189572834,25.447822008774548,6,61.575±25.448,14.55860403318838
24,LastMeal,43.01492194230687,33.393288117669684,245,43.015±33.393,67.91490233207497,21.785010127860694,6,67.915±21.785,24.899980389768103
