Mode,Prediction Horizon,Approach,rmse_mean,rmse_std,n,RMSE±Std
load_existing,6,Bezier,15.459998018408214,11.206286988942766,252,15.460±11.206
load_existing,6,Glucose+Insulin,15.33474924122963,11.634414949022302,252,15.335±11.634
load_existing,6,LastMeal,15.151218444375317,11.294022002261768,252,15.151±11.294
load_existing,9,Bezier,23.473000867222694,17.006912582550765,252,23.473±17.007
load_existing,9,Glucose+Insulin,23.56648979299868,17.355937177686297,252,23.566±17.356
load_existing,9,LastMeal,22.750262736159755,16.869005932477407,252,22.750±16.869
load_existing,12,Bezier,29.659421455349435,21.704877767017216,250,29.659±21.705
load_existing,12,Glucose+Insulin,30.43507149230578,22.397404951714886,250,30.435±22.397
load_existing,12,LastMeal,29.35970458192202,21.840668770987612,250,29.360±21.841
load_existing,18,Bezier,39.780094816842144,29.501979338717533,246,39.780±29.502
load_existing,18,Glucose+Insulin,40.84642601766802,29.31112659459336,246,40.846±29.311
load_existing,18,LastMeal,38.2250694841088,28.45762325727852,246,38.225±28.458
load_existing,24,Bezier,46.78931303026034,34.969382505465106,244,46.789±34.969
load_existing,24,Glucose+Insulin,47.12022249590703,34.93901130744271,244,47.120±34.939
load_existing,24,LastMeal,43.36605758568149,33.47572083894931,244,43.366±33.476
reoptimize,6,Bezier,15.378324438355406,11.496406422945098,252,15.378±11.496
reoptimize,6,Glucose+Insulin,15.33474924122963,11.634414949022302,252,15.335±11.634
reoptimize,6,LastMeal,15.151218444375317,11.294022002261768,252,15.151±11.294
reoptimize,9,Bezier,23.449187669843955,17.383551740233347,252,23.449±17.384
reoptimize,9,Glucose+Insulin,23.56648979299868,17.355937177686297,252,23.566±17.356
reoptimize,9,LastMeal,22.750262736159755,16.869005932477407,252,22.750±16.869
reoptimize,12,Bezier,30.216253836721137,22.057565932984474,250,30.216±22.058
reoptimize,12,Glucose+Insulin,30.43507149230578,22.397404951714886,250,30.435±22.397
reoptimize,12,LastMeal,29.35970458192202,21.840668770987612,250,29.360±21.841
reoptimize,18,Bezier,40.40196731514651,29.405671960102012,246,40.402±29.406
reoptimize,18,Glucose+Insulin,40.84642601766802,29.31112659459336,246,40.846±29.311
reoptimize,18,LastMeal,38.2250694841088,28.45762325727852,246,38.225±28.458
reoptimize,24,Bezier,46.935863611550346,36.010869092750795,244,46.936±36.011
reoptimize,24,Glucose+Insulin,47.12022249590703,34.93901130744271,244,47.120±34.939
reoptimize,24,LastMeal,43.36605758568149,33.47572083894931,244,43.366±33.476
